timestamp,slug,strategy,pnl,fees,fills_rejected,orders,resolution,open_price,close_price,session_pnl
2026-04-20T02:35:00.182Z,btc-updown-5m-1776652500,snipe-v2,0.00,0.0000,1,0,UP,74484.51,74520.02,48.00
2026-04-20T07:20:00.157Z,btc-updown-5m-1776669600,snipe-v2,0.00,0.0000,1,0,UP,74830.70,74897.58,48.00
2026-04-20T07:29:50.455Z,btc-updown-5m-1776670200,snipe-v2,2.31,0.0899,0,1,DOWN,75407.08,75223.31,50.31
2026-04-20T07:34:50.482Z,btc-updown-5m-1776670500,snipe-v2,2.36,0.0900,0,1,DOWN,75242.50,75142.34,52.67
2026-04-20T07:39:50.462Z,btc-updown-5m-1776670800,snipe-v2,2.46,0.0900,0,1,DOWN,75104.82,74960.00,55.13
2026-04-20T07:44:55.322Z,btc-updown-5m-1776671100,snipe-v2,2.36,0.0900,0,1,UP,74963.79,74997.13,57.49
2026-04-20T07:50:00.146Z,btc-updown-5m-1776671400,snipe-v2,0.00,0.0000,1,0,DOWN,74971.68,74881.95,57.49
2026-04-20T08:00:00.146Z,btc-updown-5m-1776672000,snipe-v2,0.00,0.0000,1,0,UP,74736.96,74857.39,57.49
2026-04-20T08:09:51.347Z,btc-updown-5m-1776672600,snipe-v2,2.41,0.0900,0,1,DOWN,74704.99,74696.29,59.90
2026-04-20T08:15:00.176Z,btc-updown-5m-1776672900,snipe-v2,0.00,0.0000,1,0,UP,74696.30,74852.97,59.90
2026-04-20T08:25:00.202Z,btc-updown-5m-1776673500,snipe-v2,0.00,0.0000,1,0,DOWN,75018.47,74874.79,59.90
2026-04-20T08:35:00.200Z,btc-updown-5m-1776674100,snipe-v2,0.00,0.0000,1,0,UP,74852.23,74911.88,59.90
2026-04-20T08:45:00.156Z,btc-updown-5m-1776674700,snipe-v2,0.00,0.0000,1,0,UP,74815.85,74854.01,59.90
2026-04-20T08:54:50.459Z,btc-updown-5m-1776675300,snipe-v2,2.46,0.0900,0,1,DOWN,74756.15,74716.23,62.36
2026-04-22T04:05:00.138Z,btc-updown-5m-1776830700,snipe-v2,0.00,0.0000,1,0,UP,77543.00,77600.67,62.36
2026-04-22T04:14:50.474Z,btc-updown-5m-1776831300,snipe-v2,2.36,0.0900,0,1,DOWN,77591.87,77508.09,64.72
2026-04-22T04:19:50.449Z,btc-updown-5m-1776831600,snipe-v2,1.67,0.0819,0,1,DOWN,77504.06,77463.55,66.39
2026-04-22T04:25:00.118Z,btc-updown-5m-1776831900,snipe-v2,0.00,0.0000,1,0,DOWN,77463.28,77445.72,66.39
2026-04-22T04:35:00.146Z,btc-updown-5m-1776832500,snipe-v2,0.00,0.0000,1,0,UP,77527.18,77515.28,66.39
